DATE,TMHSI,TMHI,DthMHSI,DthMHI,SpdMHSI,SpdMHI
10-7-2021-8:27:46,23.60328,52.03638,18.98688,62.29292,67.26822,220.6962
10-7-2021-8:27:47,26.36991,58.13574,19.96123,65.4896,60.82141,199.5453
10-7-2021-8:27:48,27.50173,60.63098,20.64743,67.7409,38.3227,125.7306
10-7-2021-8:27:49,25.61538,56.47229,21.47797,70.46577,46.951,154.0387
10-7-2021-8:27:50,24.9866,55.08606,22.41596,73.54317,54.7002,179.4626
10-7-2021-8:27:51,24.60936,54.25439,23.52407,77.1787,64.92393,213.005
10-7-2021-8:27:52,24.23207,53.42261,24.60315,80.71899,63.19827,207.3434
10-7-2021-8:27:53,23.47754,51.75916,25.67979,84.25127,64.10993,210.3344
10-7-2021-8:27:54,25.11234,55.36328,26.76782,87.82095,63.81689,209.373
10-7-2021-8:27:56,21.33964,47.0459,28.02517,91.94609,76.61284,251.3545
10-7-2021-8:27:57,22.09417,48.70935,29.29092,96.09883,76.28724,250.2862
10-7-2021-8:27:58,24.10632,53.14539,30.40989,99.76998,67.33334,220.9099
